transaction_id;Date;product_sku;Produit_Désignation;Quantité;Prix de Vente;Ventes;store_id;Fournisseur;Catégorie
61011;17/04/2025 08:26;10030-218;Couches-Culottes Junior Taille 5 Premium Pampers 40 Unités;20;151,95 DH;3039,00 DH;SM-018;Pampers;Produits Bébé
61012;12/12/2025 18:44;10030-14;Shampooing Bébé Shinydrops Johnson' Baby 500ml;6;74,95 DH;449,70 DH;SM-253;Johnson & Johnson;Produits Bébé
61013;21/05/2025 14:01;10030-92;Compote Pommes Pêches Blédina 130g;35;19,00 DH;665,00 DH;SM-220;Blédina;Produits Bébé
61014;22/02/2025 19:52;10030-175;Compotes en Gourde Pomme Sans Sucres Carrefour Classic 4x90g;46;27,35 DH;1258,10 DH;SM-143;Wee Baby;Produits Bébé
61015;19/02/2025 01:37;10030-34;Sucette pour Bébé Orthdontique Wee Baby;6;39,90 DH;239,40 DH;SM-176;Wee Baby;Produits Bébé
61016;09/03/2025 00:16;10030-99;Couche T7 Jp Dodot 60 Unités;43;235,00 DH;10105,00 DH;SM-025;Dodot;Produits Bébé
61017;22/03/2025 19:26;10030-156;Brosse de Bain pour Bébé Rose MYCEY;8;39,90 DH;319,20 DH;SM-160;MYCEY;Produits Bébé
61018;19/02/2025 07:26;10030-88;Lot Lait Mixa Bébé 250ml 2ème à -50%;39;70,95 DH;2767,05 DH;SM-052;Huggies;Produits Bébé
61019;11/12/2025 15:21;10030-268;Pads Rectangle Coton Carryboo 180 unités;20;59,90 DH;1198,00 DH;SM-298;Nestlé;Produits Bébé
61020;08/04/2025 20:40;10030-94;Compote Pommes Pruneaux Blédina 130g;46;19,00 DH;874,00 DH;SM-133;Blédina;Produits Bébé
61021;11/10/2025 20:42;10030-105;Compote Pomme sans Sucres Carrefour Classic 710g;43;28,70 DH;1234,10 DH;SM-109;Huggies;Produits Bébé
61022;22/04/2025 16:29;10030-283;Purée Banane Orange Biscuit en Gourde Cerelac 90g;22;11,95 DH;262,90 DH;SM-128;Nestlé;Produits Bébé
61023;23/02/2025 06:06;10030-220;Coupe-Ongle Bébé Poisson;23;55,00 DH;1265,00 DH;SM-254;Wee Baby;Produits Bébé
61024;06/08/2025 03:30;10030-71;Huile Bébé Johnson's Baby 200ml.;13;39,50 DH;513,50 DH;SM-113;Johnson & Johnson;Produits Bébé
61025;31/07/2025 01:22;10030-92;Compote Pommes Pêches Blédina 130g;24;19,00 DH;456,00 DH;SM-140;Blédina;Produits Bébé
61026;20/11/2025 00:06;10030-28;Couches Mini Taille 2 Jumbo Pack Special Care Calin 38 unités;7;65,95 DH;461,65 DH;SM-132;Calin;Produits Bébé
61027;13/01/2025 18:11;10030-59;Lait de Croissance Aptajunior Aptamil 400g;35;90,00 DH;3150,00 DH;SM-121;Huggies;Produits Bébé
61028;24/08/2025 11:25;10030-39;Couches Bébé Premium Care Taille 4 (9-18kg) Pampers 52 unités;39;145,95 DH;5692,05 DH;SM-078;Pampers;Produits Bébé
61029;25/08/2025 21:09;10030-239;Gourde Nip Kids Garçon;37;109,90 DH;4066,30 DH;SM-133;Nip;Produits Bébé
61030;13/10/2025 08:54;10030-175;Compotes en Gourde Pomme Sans Sucres Carrefour Classic 4x90g;13;27,35 DH;355,55 DH;SM-162;Wee Baby;Produits Bébé
61031;15/09/2025 21:14;10030-119;Céréale au Blé pour Bébé Cerelac 500g;19;48,95 DH;930,05 DH;SM-271;Nestlé;Produits Bébé
61032;30/10/2025 09:19;10030-152;Boîte de Sucette pour Bébé;38;39,90 DH;1516,20 DH;SM-192;Babybio;Produits Bébé
61033;01/03/2025 19:29;10030-25;Biberon en Cou Large Nip 260 ml;49;99,90 DH;4895,10 DH;SM-015;Nip;Produits Bébé
61034;16/07/2025 21:40;10030-47;Couche Culotte T7 JP Dodot 44 Unités;49;190,00 DH;9310,00 DH;SM-262;Dodot;Produits Bébé
61035;08/06/2025 01:11;10030-182;Cordon Sucette pour Bébé Bleu Mycey;42;33,90 DH;1423,80 DH;SM-182;MYCEY;Produits Bébé
61036;20/04/2025 19:25;10030-307;Tétine Silicone pour Bébé Nip;8;45,90 DH;367,20 DH;SM-283;Nip;Produits Bébé
61037;20/11/2025 01:14;10030-112;Gobelet Gulu avec Tube Farlin 240 ml;19;139,90 DH;2658,10 DH;SM-064;Babybio;Produits Bébé
61038;09/12/2025 21:00;10030-36;Couches Bébé Baby-dry Taille 4 (9-18kg) Pampers 62 unités;6;136,95 DH;821,70 DH;SM-281;Pampers;Produits Bébé
