transaction_id;Date;product_sku;Produit_Désignation;Quantité;Prix de Vente;Ventes;store_id;Fournisseur;Catégorie
31000;02/11/2025 02:17;10160-2184;Pâte à Tartiner Biscoff Crunchy Lotus 380g;16;76,50 DH;1224,00 DH;SM-065;Dari;Épices
31001;28/05/2025 04:22;10160-2794;Sirop d'Érable Maple Joe 250g;7;124,95 DH;874,65 DH;SM-174;Pescada;Épices
31002;13/01/2025 16:32;10160-657;Café en Dosettes Equilibré Pur Arabica  36 unités;19;53,80 DH;1022,20 DH;SM-136;VCR SODALMU;Épices
31003;17/01/2025 00:38;10160-26;Sauce Tomate au Basilic Florelli 250g;9;36,90 DH;332,10 DH;SM-158;Florelli;Épices
31004;14/07/2025 20:55;10160-924;Confiture de Fraise Sans Sucre Saint Dalfour 284g.;18;59,30 DH;1067,40 DH;SM-268;Macao;Épices
31005;23/03/2025 07:40;10160-920;Confiture de Fraise El Baraka 21cl;2;11,90 DH;23,80 DH;SM-167;Macao;Épices
31006;01/05/2025 23:31;10160-2269;Pâtes Pipe Rigate  500g.;11;24,95 DH;274,45 DH;SM-304;Samar;Épices
31007;12/06/2025 02:38;10160-1872;Mayonnaise Light Squeeze Dixie 250ml;11;17,95 DH;197,45 DH;SM-221;Bimbo;Épices
31008;02/11/2025 13:25;10160-364;Kit Crousti Fajitas  530g;6;54,95 DH;329,70 DH;SM-166;Doha Conserveries;Épices
31009;14/09/2025 08:59;10160-593;Café Capsules Cappuccino  Extra 16 Capsules;15;88,50 DH;1327,50 DH;SM-261;Top Chef;Épices
31010;03/12/2025 00:12;10160-2384;Pois Chiches Oncle Sam 1kg.;1;35,50 DH;35,50 DH;SM-297;Oncle Sam;Épices
31011;14/12/2025 03:46;10160-186;Sel de Table Cérébos 125g;18;18,60 DH;334,80 DH;SM-140;Sultan;Épices
31012;03/04/2025 03:56;10160-1103;Coquillettes Dari 500g;12;11,40 DH;136,80 DH;SM-029;Dari;Épices
31013;30/04/2025 19:00;10160-836;Cœur de Palmier Coupé Jessy's 400g.;5;47,95 DH;239,75 DH;SM-074;Macao;Épices
31014;13/11/2025 16:12;10160-1219;Dattes Majhoul Small 1 unité;2;58,90 DH;117,80 DH;SM-298;Aicha;Épices
31015;01/11/2025 10:52;10160-1899;Mélange Céréales Soja et Petits Pois Lentilles  2x200g.;5;42,30 DH;211,50 DH;SM-054;Sultan;Épices
31016;21/07/2025 00:39;10160-478;Amandes Fromage 100g;7;15,90 DH;111,30 DH;SM-298;Doha Conserveries;Épices
31017;21/02/2025 07:39;10160-2739;Sauce Tomate Basilic Cirio 390g;6;13,50 DH;81,00 DH;SM-064;Olla;Épices
31018;03/06/2025 00:53;10160-2133;Pack Café Moulu Taiba (200g x 2) + Café Moulu Taiba 100g Gratuit;17;40,95 DH;696,15 DH;SM-102;Dari;Épices
31019;05/02/2025 03:52;10160-1465;Graines de Millet  Zaman d'Or.;2;33,95 DH;67,90 DH;SM-289;VCR SODALMU;Épices
31020;04/08/2025 05:43;10160-2172;Pamplemousse Séché 100g;1;15,90 DH;15,90 DH;SM-221;Dari;Épices
31021;30/04/2025 13:55;10160-2488;Riz Basmati Scotti 500g.;12;57,95 DH;695,40 DH;SM-049;Kayna;Épices
31022;29/12/2025 21:55;10160-525;Bicarbonate de Soude Ducros 250g;4;18,95 DH;75,80 DH;SM-302;Ducros;Épices
31023;25/09/2025 06:54;10160-93;Coquillette Cuisson Rapide  500g.;11;29,95 DH;329,45 DH;SM-148;Alsa;Épices
31024;16/02/2025 03:32;10160-1499;Haricots Rouges Cirio 380g;20;11,50 DH;230,00 DH;SM-208;Al Itkane;Épices
31025;17/11/2025 01:39;10160-1011;Conserve de Flageolets Vert Extra Fins D'Aucy 400g.;13;31,75 DH;412,75 DH;SM-271;Dalia;Épices
31026;26/04/2025 14:56;10160-1416;Fusilli Amanhecer 500g;1;22,30 DH;22,30 DH;SM-255;Amanhecer;Épices
31027;31/07/2025 20:44;10160-760;Capsules Caffe Latte  Extra 16 Capsules;18;79,95 DH;1439,10 DH;SM-143;VCR SODALMU;Épices
31028;01/06/2025 18:47;10160-2308;Penne Tricolore Barilla 500g;16;46,30 DH;740,80 DH;SM-195;Barilla;Épices
31029;11/09/2025 19:23;10160-2176;Paquet Trio de Quinoa Priméal 500g.;13;79,95 DH;1039,35 DH;SM-142;Dari;Épices
31030;25/09/2025 22:13;10160-3200;Wraps Blé Complet à l'Huile d'Olive Zanuy 240g.;3;27,95 DH;83,85 DH;SM-144;Révey;Épices
31031;19/05/2025 00:37;10160-1275;Épis de Maïs Khayrat 425g.;9;28,50 DH;256,50 DH;SM-238;Aicha;Épices
31032;24/12/2025 07:50;10160-157;Amandes Roussies 200g;15;29,90 DH;448,50 DH;SM-033;Alsa;Épices
31033;11/03/2025 15:26;10160-251;Assaisonnement pour Poulet aux Épices Goût Barbecue Idéal;2;11,20 DH;22,40 DH;SM-043;Ideal;Épices
31034;22/09/2025 13:12;10160-1827;Maïs Barbecue 200g;2;13,18 DH;26,36 DH;SM-216;Bimbo;Épices
31035;13/06/2025 06:48;10160-259;Conserve de Thon Entier Tam 85g.;9;11,95 DH;107,55 DH;SM-192;Tam;Épices
31036;20/08/2025 21:00;10160-1223;Dattes Safawi 400g;16;39,90 DH;638,40 DH;SM-265;Aicha;Épices
31037;03/08/2025 15:46;10160-175;Gelée de Mûre  Original 370g;14;25,95 DH;363,30 DH;SM-078;Alsa;Épices
31038;02/01/2025 07:20;10160-942;Confiture de Mûre Sans Sucre Saint Dalfour 284g.;13;59,30 DH;770,90 DH;SM-295;Macao;Épices
31039;22/08/2025 22:37;10160-303;Huile de Noix  Sélection 25cl;7;74,60 DH;522,20 DH;SM-271;Doha Conserveries;Épices
31040;09/12/2025 12:51;10160-2776;Semoule Fine de Blé Dur Kraft Ghazal 5kg;6;53,90 DH;323,40 DH;SM-129;Macao;Épices
31041;06/08/2025 05:57;10160-1236;Dessert Pomme Vitafruit 80g X4.;1;25,70 DH;25,70 DH;SM-279;Aicha;Épices
31042;20/12/2025 02:06;10160-341;Galettes Wraps de Blé  6 feuilles 370g.;17;34,15 DH;580,55 DH;SM-087;Doha Conserveries;Épices
31043;25/10/2025 00:33;10160-2724;Sauce Tartare  345g;13;36,75 DH;477,75 DH;SM-298;Macao;Épices
31044;04/09/2025 09:21;10160-2319;Pépites Sucre Chocotaté Noir Aiguebelle 250g;1;19,95 DH;19,95 DH;SM-286;Aiguebelle;Épices
31045;04/12/2025 06:26;10160-1733;Levure Sèche Rafiaa 125g.;9;10,20 DH;91,80 DH;SM-168;Sultan;Épices
31046;28/07/2025 03:52;10160-125;Beurre de Cacahuètes Crunchy Sans Sucre Sante 350g;3;47,50 DH;142,50 DH;SM-258;Sultan;Épices
31047;11/12/2025 15:09;10160-802;Chili de Légumes à La Mexicaine  530g;14;65,95 DH;923,30 DH;SM-215;VCR SODALMU;Épices
31048;11/06/2025 23:54;10160-2083;Nouilles à la Farine de Blé Tendre  250g;3;35,40 DH;106,20 DH;SM-029;Samar;Épices
31049;22/09/2025 14:57;10160-1958;Miel Multifleurs Cire Aslal Souss 250g;8;45,70 DH;365,60 DH;SM-266;Soho Snacks;Épices
31050;15/07/2025 05:49;10160-1550;Huile de Table Oleor 50cl.;12;8,95 DH;107,40 DH;SM-253;Al Itkane;Épices
31051;18/09/2025 10:21;10160-788;Champignons en Morceaux Tamima 195g.;2;12,20 DH;24,40 DH;SM-105;Macao;Épices
31052;22/06/2025 13:28;10160-2842;Spaghetti Monte Regale 250g;13;7,95 DH;103,35 DH;SM-261;Pescada;Épices
31053;18/07/2025 23:08;10160-2511;Riz Long Diva 1kg;6;25,50 DH;153,00 DH;SM-233;Kayna;Épices
31054;30/01/2025 13:02;10160-2327;Persil Gaya 20g.;19;14,95 DH;284,05 DH;SM-272;Gaya;Épices
31055;10/09/2025 11:19;10160-1780;Lot de 3 boîte de Maïs Mido 140g + 1 Gratuite;17;35,90 DH;610,30 DH;SM-029;Amgalita;Épices
31056;29/07/2025 14:49;10160-1117;Couscous Belboula Dari 1kg;2;15,95 DH;31,90 DH;SM-193;Dari;Épices
31057;12/03/2025 15:51;10160-2098;Nouilles Instantanées Poulet Beldi Indomie 5x70g;13;13,60 DH;176,80 DH;SM-045;Dari;Épices
