transaction_id;Date;product_sku;Produit_Désignation;Quantité;Prix de Vente;Ventes;store_id;Fournisseur;Catégorie
921118;26/08/2025 11:24;10110-294;Flûte en Plastique Maped Trous Baroque;71;55,90 DH;3968,90 DH;SM-179;Maped;Loisirs
921119;09/02/2025 18:28;10110-482;Poupée avec 2 Robes Anlily 33x22x6,5cm;120;69,90 DH;8388,00 DH;SM-193;Deli Group;Loisirs
921120;24/11/2025 01:20;10110-409;Mini Trousse à Crayons 30g;83;19,90 DH;1651,70 DH;SM-216;Deli Group;Loisirs
921121;31/03/2025 04:29;10110-643;Surligneurs en Ligne Jaune Orange Rose Bleu 4 unités;92;7,90 DH;726,80 DH;SM-186;Deli Group;Loisirs
921122;10/09/2025 00:51;10110-518;Puzzle Pinocchio Double Facef Super Maxi 108 Pièces;132;99,90 DH;13186,80 DH;SM-186;Deli Group;Loisirs
921123;09/03/2025 00:59;10110-660;Tente de Jeu Princess Junior 104x104x130 cm;145;619,90 DH;89885,50 DH;SM-286;Deli Group;Loisirs
921124;14/10/2025 09:06;10110-651;Taille Crayon L-Gloo Gaucher 1 Trou Maped;11;5,90 DH;64,90 DH;SM-178;Maped;Loisirs
921125;27/02/2025 12:52;10110-198;Colle Stick Deli 8g;199;4,90 DH;975,10 DH;SM-163;Uhu;Loisirs
921126;16/07/2025 11:25;10110-370;L'imagerie des Tout Petits en Bonne Santé;81;29,00 DH;2349,00 DH;SM-245;Bic;Loisirs
921127;05/01/2025 07:52;10110-386;Livre d'Exploration Spatiale en Arabe;192;19,00 DH;3648,00 DH;SM-225;Bic;Loisirs
921128;29/07/2025 03:55;10110-302;Gomme Natural Large;173;7,90 DH;1366,70 DH;SM-302;Mister Fournitures;Loisirs
921129;31/01/2025 09:40;10110-264;Drapeaux Adhésifs 45x12 mm 20 Feuilles 5 Couleurs;196;9,90 DH;1940,40 DH;SM-250;Uhu;Loisirs
921130;01/06/2025 05:53;10110-215;Copies Doubles Blanches Perforées 21x29,7cm 10x10mm Ancor 100 pages;195;19,90 DH;3880,50 DH;SM-285;Uhu;Loisirs
921131;22/09/2025 22:26;10110-45;Perforateur 1 trou;168;11,00 DH;1848,00 DH;SM-212;Mister Fournitures;Loisirs
921132;03/05/2025 23:58;10110-463;Peluche Assortie 903/3537;74;239,90 DH;17752,60 DH;SM-167;Deli Group;Loisirs
921133;22/12/2025 21:29;10110-400;Mes Grands Classiques : Les Vacances;116;29,00 DH;3364,00 DH;SM-246;Deli Group;Loisirs
921134;11/09/2025 08:16;10110-521;Pyramide 12x12x8,5cm.;87;115,00 DH;10005,00 DH;SM-209;Deli Group;Loisirs
921135;27/01/2025 15:26;10110-121;Cahier Bleu Marine Pique 96 Pages 17x22cm 60g;56;5,90 DH;330,40 DH;SM-304;Maped;Loisirs
921136;30/06/2025 21:03;10110-379;La Grande Imagerie : Les Animaux de La Mer;175;19,00 DH;3325,00 DH;SM-200;Bic;Loisirs
921137;14/11/2025 21:25;10110-410;Mini Véhicule 1/64 Speed-Track;111;19,90 DH;2208,90 DH;SM-293;Deli Group;Loisirs
921138;19/01/2025 04:00;10110-341;Jeu de Tirs Pack Combo Skins X-Shot;71;429,90 DH;30522,90 DH;SM-257;Bic;Loisirs
921139;30/11/2025 08:36;10110-281;Feutre de Coloriage Format Spécial Paquet de 24 couleurs Pack Promo;10;42,90 DH;429,00 DH;SM-062;Uhu;Loisirs
921140;31/05/2025 20:37;10110-12;Ciseaux Start Soft Maped 13cm;114;8,90 DH;1014,60 DH;SM-136;Maped;Loisirs
921141;29/01/2025 21:49;10110-214;Copies Doubles Blanches 96 pages 17x22cm seyès Maped 72g;19;10,00 DH;190,00 DH;SM-096;Maped;Loisirs
921142;05/08/2025 21:58;10110-346;Jeu Mikado Dominos Bambou Zoko-Jogos 19x3 cm;187;99,90 DH;18681,30 DH;SM-071;Bic;Loisirs
921143;04/07/2025 19:15;10110-130;Cahier Piqué Scolaire 140 pages Seyès 21x29;31;22,90 DH;709,90 DH;SM-190;Maped;Loisirs
